Structure,k2,k_2,k3,k_3,k4,k5,k_5,k6,deg_ratio,k7,k_7,k8,k_8,k9,k_9,k10,k11,k_11,k12,k13,k_13,k14,k15,k_15,k16,k17b,k18a,k18b,k19,k20,k21,k_21,k22,k23,k24,k25a,k25b,k26,k27,k28,k29,totalSTAT,RJ,SHP2,PPX,PPN
1,2.83E-03,0.000152924,0.066330754,9.810394561,0.03535789,0.126068875,4.042120289,0.022276344,1,0.013136477,19.10940252,0.752233713,0.06373143,0.047510993,0.002411613,0.007350886,0.075057092,0.013995488,0.000766087,2.13E-06,0.013584103,0.00054587,2.92E-03,0.120876438,0.180595383,0.004561747,0,442.7405884,0.005580284,0.550284051,0.001649302,0.029281953,0.005980627,8.83E-04,1.01E-05,0,10.27109138,0.038019035,5.21E-06,0.003933009,0.255256971,1011.296686,155.1471973,9.816430746,22.05920331,63.31632233
3,0.004673835,0.557452655,2.627711416,0.569183495,0.150441479,0.477132766,0.11140714,18.79913362,1,0.005878885,0.011562935,0.011825416,0.002736819,0.01110684,0.058339583,0.000572047,5.34E-04,0.044443774,0.094916209,1.07E-05,0.779473822,0.020940476,0.000408479,0.986901867,0.03841358,1.804108207,0,8.419041461,1.23E-05,0.003703123,0.000558318,0.002767653,6.22E-03,0.000557567,1.38E-02,0.940319959,8.309005222,0.004438183,2.60E-03,0.29569536,0.033026956,16009.6369,0.398129008,66.58080619,4.329055967,472.5112371
3,1.30E-04,0.075091274,1.97237905,0.250917187,0.230705719,0.000474961,0.038663017,1.983235333,1,0.001073935,0.005400219,0.009533312,0.001830896,4.00E-05,0.691319191,0.000193567,0.045542828,0.308522748,9.26E-05,5.22E-09,0.012235167,0.006561931,0.002374145,0.044596189,0.057450295,1.876408747,0,37.92136567,1.05E-03,0.015381092,0.384838272,2.622290317,8.43E-06,4.71E-05,0.021487873,0.146673954,7.082003529,0.055465045,7.14E-06,0.835916031,0.272284762,3096.961602,0.161367691,50.74208935,5.493235752,48.35923527
3,0.000139129,0.265234201,0.001369579,0.00360077,0.042467222,0.000682719,0.010960827,27.22791715,1,0.005967196,0.031492814,0.000357647,0.16154341,1.05E-05,0.048646973,0.011399964,2.53E-05,0.251454614,0.002473663,1.81E-07,0.036482639,0.049653271,1.59E-05,0.679513487,0.007865151,0.822339577,0,38.86166335,1.01E-04,0.604140631,0.913007125,6.121984405,0.00026594,8.98E-05,1.17E-05,0.131887597,1732.416808,0.001475166,9.20E-05,0.549937944,0.000356108,13957.73889,163.3582407,6.998408287,1.145816622,4848.903406
3,0.000259231,0.000280367,0.041216145,0.005602568,0.100043424,9.63E-05,0.011707108,0.016693666,1,0.051630503,1.9752247,0.125370298,0.00103297,0.012888137,0.786445593,0.005711331,0.000916241,0.006420897,5.03E-05,4.38E-07,16.12770295,0.065355253,0.000207097,0.01677174,0.0018853,0.031398017,0,11319.31283,0.000124479,0.276593213,0.007170558,0.667492764,7.50E-05,0.003309503,0.001927728,0.635352058,459.6539625,0.013262266,3.91E-05,0.28423083,0.000108577,683.4120477,509.7903993,1.135376983,1.282691357,711.397049
4,0.000529447,0.008216163,0.007655732,13.43700384,0.030912924,0.038209009,19.90540056,0.047419304,6.743150298,0.000242249,0.013327152,0.348649803,3.477219694,6.95E-05,0.003477151,0.024094819,3.44E-04,0.261833818,0.004112238,3.30E-09,0.073180027,0.000129581,7.37E-05,9.05232634,0.000773681,0.01547303,0,18.66386376,2.89E-03,0.013732547,0.000753659,3.482872682,7.79E-06,0.028961647,4.39E-05,0,3910.118069,0.091868005,0.047241573,0.00012005,0.799540042,49688.80572,250.8192562,13.98535564,894.5714576,5.77099311
4,0.001661845,0.000282722,0.054557967,0.002678905,0.002412372,0.020988626,0.012295322,0.009068031,65.12146957,5.11E-05,0.010328459,0.030896767,0.023928889,0.000330773,0.086307118,2.11E-04,7.10E-05,0.007512063,0.001040283,5.40E-06,18.35200461,5.57E-04,1.65E-05,0.02666195,6.91E-04,0.303154328,0,4.434047707,0.000183762,0.000360705,0.223663789,9.42649265,0.029181587,0.035245722,0.003892476,0,17.7359308,8.74E-05,5.48E-06,0.311080946,0.000274629,15.80013696,734.3337793,2171.314058,370.3270543,0.761022237
4,0.001746681,0.002581305,3.115774563,12.14848738,0.005413961,0.000520854,0.075823626,0.01104563,4.942315318,0.362150574,0.122524995,0.008137398,0.027840177,3.12E-05,0.005279349,0.003154251,0.00260482,4.30545251,0.011434868,1.81E-05,0.007438521,0.000182544,1.06E-05,0.274684658,0.001564877,0.000708382,0,52.57901434,1.89E-05,0.000295194,0.168764594,0.087034738,4.03E-05,3.63E-04,2.99E-02,0,4.596148245,0.006648907,4.16E-03,0.092780597,0.01005093,1841.096076,23.6890853,4.817069509,609.7000379,22.26252262
4,6.51E-05,0.004197183,1.439115417,0.012968702,0.179190053,0.247419886,3.03615978,19.47580315,25.81821831,0.000967334,0.01301601,0.013221044,1.312061479,0.041517316,7.721340832,0.0033018,0.049934246,13.20419439,0.002108843,1.09E-07,0.268508885,3.29E-03,0.00140403,10.69518226,0.000138145,0.388227818,0,20016.73005,0.02188159,0.086739556,0.001542386,5.718932938,1.24E-05,0.031239558,3.87E-04,0,1915.998761,0.034021714,0.003561332,0.007920239,0.009213918,2837.5755,0.345618636,3.147699883,1841.273241,3.00221838
5,1.44E-05,0.001668729,0.006817789,0.017405645,0.00076538,0.002382801,22.1694427,21.54875969,1,0.181036883,43.72854666,0.040978809,0.023879085,0.001146469,0.127090324,0.000911854,0.024768996,1.150044653,0.000297725,2.59E-08,0.113254819,0.002113156,9.97E-04,0.013233199,8.46E-05,0.447398342,0.099055589,89.44247149,0.022628514,0.033041267,0.270966308,0.001302533,0.000840929,4.19E-02,0.023763166,0.007439395,465.2188953,0.051809761,6.93E-06,0.07696473,0.000206973,8966.375093,53.21225756,322.1156252,2646.695175,1.946523359
